Country of Birth,ABSTUDY (Living allowance),ABSTUDY (Non-living allowance),Age Pension,Austudy,Carer Allowance,Carer Allowance (Child Health Care Card only),Carer Payment,Commonwealth Rent Assistance,Commonwealth Seniors Health Card,Disability Support Pension,Family Tax Benefit A,Family Tax Benefit B,Health Care Card,JobSeeker Payment,Low Income Card,Parenting Payment Partnered,Parenting Payment Single,Pension Concession Card,Special Benefit,Youth Allowance (other),Youth Allowance (student and apprentice)
Australia,7370.00 ,18845.00 ,1569840.00 ,15520.00 ,438920.00 ,6065.00 ,199155.00 ,925075.00 ,360305.00 ,629815.00 ,852705.00 ,689900.00 ,926440.00 ,596905.00 ,116935.00 ,32490.00 ,257085.00 ,2981685.00 ,755.00 ,77990.00 ,94590.00 
United Kingdom,10.00 ,5.00 ,256795.00 ,590.00 ,27890.00 ,195.00 ,10695.00 ,61395.00 ,43910.00 ,28655.00 ,26835.00 ,20400.00 ,29265.00 ,24285.00 ,6850.00 ,510.00 ,4750.00 ,314525.00 ,50.00 ,400.00 ,1645.00 
New Zealand,10.00 ,5.00 ,72070.00 ,305.00 ,9805.00 ,105.00 ,4830.00 ,43090.00 ,7345.00 ,14925.00 ,42060.00 ,34050.00 ,28065.00 ,15365.00 ,3475.00 ,690.00 ,5525.00 ,89735.00 ,15.00 ,255.00 ,750.00 
China,0.00 ,0.00 ,40150.00 ,445.00 ,9320.00 ,90.00 ,4660.00 ,14970.00 ,12735.00 ,4080.00 ,38280.00 ,25425.00 ,27465.00 ,12415.00 ,5455.00 ,1235.00 ,2470.00 ,59045.00 ,805.00 ,95.00 ,2285.00 
Italy,5.00 ,0.00 ,74360.00 ,35.00 ,8260.00 ,5.00 ,2155.00 ,4525.00 ,14530.00 ,3320.00 ,1550.00 ,1150.00 ,2645.00 ,1735.00 ,1375.00 ,45.00 ,165.00 ,72755.00 ,10.00 ,15.00 ,90.00 
Vietnam,0.00 ,0.00 ,24705.00 ,200.00 ,11705.00 ,170.00 ,7930.00 ,14090.00 ,1540.00 ,8705.00 ,24280.00 ,17840.00 ,17665.00 ,16230.00 ,2525.00 ,985.00 ,4010.00 ,56830.00 ,325.00 ,100.00 ,790.00 
Iraq,0.00 ,0.00 ,9045.00 ,190.00 ,16830.00 ,100.00 ,16230.00 ,20840.00 ,155.00 ,8845.00 ,17415.00 ,13560.00 ,16395.00 ,12710.00 ,555.00 ,2880.00 ,1880.00 ,42920.00 ,230.00 ,965.00 ,1665.00 
Greece,5.00 ,0.00 ,58465.00 ,20.00 ,7420.00 ,5.00 ,1805.00 ,3610.00 ,6750.00 ,3100.00 ,970.00 ,715.00 ,1755.00 ,1455.00 ,785.00 ,35.00 ,135.00 ,52590.00 ,10.00 ,30.00 ,115.00 
India,0.00 ,0.00 ,17485.00 ,180.00 ,6495.00 ,150.00 ,1470.00 ,10820.00 ,4820.00 ,2345.00 ,38490.00 ,24790.00 ,20650.00 ,4875.00 ,1910.00 ,1895.00 ,1435.00 ,24430.00 ,240.00 ,120.00 ,1700.00 
Lebanon,0.00 ,0.00 ,19225.00 ,55.00 ,10550.00 ,105.00 ,8065.00 ,9340.00 ,1065.00 ,7985.00 ,9500.00 ,7305.00 ,7900.00 ,7080.00 ,605.00 ,1110.00 ,1380.00 ,41270.00 ,210.00 ,110.00 ,350.00 
